bank_txn_id,txn_date,narration,amount,utr
BNK-00289,2026-06-02,RTGS-RAZORP*FALC28,91674.4,
BNK-00042,2026-07-17,NEFT-RAZORP*INDU042-F1BCPP,187264.07,UTR891612454760
BNK-00220,2026-07-04,UPI-RAZORP*ACME220-F7QNEZ,128056.23,UTR178257150685
BNK-00281,2026-06-25,IMPS-RAZORP*TUND28,8415.05,
BNK-00134,2026-06-24,NEFT-RAZORP*UDAA134-XF445C,7838.79,
BNK-00017,2026-07-07,IMPS-RAZORP*VERT017-PZIM,241203.66,
BNK-00079,2026-07-13,RTGS-RAZORP*TUND079-T1NTMJ,14342.49,UTR865546108478
BNK-00257,2026-06-15,RAZORP*SUMM257-XLBWQ8,104496.92,
BNK-00102,2026-07-08,NEFT-RAZORP*EVER102-ZZF8S2,83046.55,
BNK-00222,2026-06-12,IMPS-RAZORP*EVER222-AP5I,208612.33,UTR340499547050
BNK-00165,2026-06-30,NEFT-RAZORP*QUAR165-X5LI,103915.63,UTR939769111668
BNK-00232,2026-07-04,RAZORP*XENO232-PJY,58591.27,UTR177183248094
BNK-00054,2026-07-08,RAZORP*QUAR054-MX3Y9R,126243.92,UTR932086292191
BNK-00157,2026-06-08,RAZORP*ACME157-KBV,201819.53,
BNK-00207,2026-06-28,RTGS-RAZORP*KEST20,89305.51,UTR786066823387
BNK-00036,2026-07-14,IMPS-RAZORP*JAIP036-BNP84D,102553.71,UTR819041453913
BNK-00031,2026-06-11,RAZORP*ORIO031-BCW790,130698.97,UTR788554816658
BNK-N0005,2026-06-20,CHEQUE CLEARING,6612.54,
BNK-00152,2026-07-07,NEFT-RAZORP*ACME152-IEVE,215880.47,
BNK-00047,2026-07-13,NEFT-RAZORP*CRES047-IPPSFN,146996.59,
BNK-00194,2026-07-17,UPI-RAZORP*GANG194,72252.18,UTR626874259465
BNK-00192,2026-07-06,IMPS-RAZORP*UDAA192-9AAWE4,241035.44,UTR648174654358
BNK-00138,2026-07-05,RAZORP*PINN138-4Z7WHW,191730.76,UTR595184704771
BNK-00265,2026-07-08,RTGS-RAZORP*GANG265-45VDB8,16137.05,UTR943339338380
BNK-00045,2026-06-27,IMPS-RAZORP*GANG04,88871.38,
BNK-00224,2026-07-20,NEFT-RAZORP*EVER22,101851.49,
BNK-00162,2026-06-15,RAZORP*INDU162-PNF8F3,136108.24,UTR210871104700
BNK-00084,2026-06-15,IMPS-RAZORP*JAIP084-BJ9RM7,139790.95,
BNK-00261,2026-06-16,IMPS-RAZORP*ZENI26,55373.35,
BNK-00099,2026-07-16,RTGS-RAZORP*NIMB09,36500.67,UTR815585872304
BNK-00223,2026-06-29,NEFT-RAZORP*ACME223-RKZ40A,239359.67,UTR242670251510
BNK-00216,2026-06-11,NEFT-RAZORP*DELT21,123807.68,
BNK-00159,2026-07-04,RTGS-RAZORP*DELT159-2OMTZJ,233744.09,
BNK-00009,2026-06-15,RAZORP*JAIP009-VWPVS7,236614.71,UTR543391824534
BNK-00086,2026-06-20,UPI-RAZORP*ACME086-VHDK8L,103872.82,UTR629568403524
BNK-00048,2026-06-26,RTGS-RAZORP*YASH04,167286.55,UTR440804885228
BNK-00280,2026-06-22,IMPS-RAZORP*PINN280-W9ZJ,147902.73,UTR329488531225
BNK-00081,2026-07-08,RAZORP*XENO081-W76XAT,121696.06,
BNK-00228,2026-07-18,UPI-RAZORP*FALC228-7187F8,170626.41,UTR684813903664
BNK-00155,2026-07-17,UPI-RAZORP*ZENI155-NFXJ4P,142700.47,UTR818870279501
BNK-00291,2026-07-11,RAZORP*QUAR291-XH6QIH,216789.5,UTR888054760199
BNK-00240,2026-07-06,RTGS-RAZORP*PINN240-LO1URT,125638.0,UTR434059904005
BNK-00127,2026-07-03,RTGS-RAZORP*FALC12,192718.58,
BNK-00103,2026-06-21,RTGS-RAZORP*EVER103-0A4A,180213.44,
BNK-N0009,2026-06-27,SALARY CREDIT FEB,89057.57,
BNK-00026,2026-06-22,UPI-RAZORP*WAVE026,173049.27,UTR968296026728
BNK-00078,2026-06-27,IMPS-RAZORP*VERT078-X74D0G,192860.61,
