invoice_id,customer_name,invoice_date,amount,description
INV-001,Udaan Airlines,2026-06-08,11127.64,Udaa nAirlines Invoice #001
INV-002,Lotus Apparel,2026-07-09,69807.61,Lotus Apaprel Invoice #002
INV-003,Harbor Steel,2026-06-11,118253.75,Harbor Steel Invoice #003
INV-004,Everest Foods,2026-07-03,125911.38,Everest Foods Invoice #004
INV-005,Delta Textiles,2026-07-11,78118.97,Delta Textiles Invoice #005
INV-006,Tundra Robotics,2026-06-28,241268.91,Tundra Robotics Invoice #006
INV-007,Udaan Airlines,2026-06-04,61090.74,Udaan Airlines Invoice #007
INV-008,Ganges Pharma,2026-07-05,114910.32,Ganges Pharma Invoice #008
INV-009,Jaipur Handicrafts,2026-06-14,242333.79,Jaipur Handicrafts Invoice #009
INV-010,Kestrel Media,2026-06-16,70075.56,Kestrel Medai Invoice #010
INV-011,Delta Textiles,2026-06-09,69794.15,Delta Textiles Invoice #011
INV-012,Yashoda Hospitals,2026-06-09,161092.78,Yashoda Hosptials Invoice #012
INV-013,Zenith Furniture,2026-06-12,220946.97,Zenith Furniutre Invoice #013
INV-014,Rangoli Foods,2026-06-22,235113.1,Rangoil Foods Invoice #014
INV-015,Vertex Systems,2026-06-27,84914.81,Vertex Systems Invoice #015
INV-016,Yashoda Hospitals,2026-06-16,169834.94,Yashdoa Hospitals Invoice #016
INV-017,Vertex Systems,2026-07-04,247033.65,Vertex Systems Invoice #017
INV-018,Wavefront Labs,2026-06-10,178072.69,Wavefrotn Labs Invoice #018
INV-019,Vertex Systems,2026-07-14,200544.87,Vertex Systems Invoice #019
INV-020,Crescent Retail,2026-07-12,14863.24,Cresecnt Retail Invoice #020
INV-021,Yashoda Hospitals,2026-06-20,213321.84,Yashoda Hospitals Invoice #021
INV-022,Harbor Steel,2026-06-06,73337.42,Harbor Steel Invoice #022
INV-023,Harbor Steel,2026-06-26,174487.85,Harbor Stele Invoice #023
INV-024,Falcon Analytics,2026-06-20,8466.35,Falcon Analytics Invoice #024
INV-025,Delta Textiles,2026-07-06,192288.64,Delta Textiles Invoice #025
INV-026,Wavefront Labs,2026-06-19,177231.95,Wavefront Labs Invoice #026
INV-027,Nimbus Cloud,2026-06-21,152909.84,Nimbsu Cloud Invoice #027
INV-028,Meridian Consulting,2026-07-06,13990.8,Meridian oCnsulting Invoice #028
INV-029,Acme Corp,2026-07-06,104957.72,Acme Copr Invoice #029
INV-030,Summit Traders,2026-07-08,249731.07,Summit Traders Invoice #030
INV-031,Orion Freight,2026-06-07,133858.02,Orion Freight Invoice #031
INV-032,Yashoda Hospitals,2026-07-11,177453.25,Yasohda Hospitals Invoice #032
INV-033,Falcon Analytics,2026-06-05,113223.8,Falcon Anayltics Invoice #033
INV-034,Tundra Robotics,2026-06-17,171052.29,Tundra Robotics Invoice #034
INV-035,Kestrel Media,2026-06-08,119741.19,Kesterl Media Invoice #035
INV-036,Jaipur Handicrafts,2026-07-12,105032.48,Japiur Handicrafts Invoice #036
INV-037,Udaan Airlines,2026-06-23,19834.77,Udaan Airlines Invoice #037
INV-038,Delta Textiles,2026-07-13,217279.73,Delta eTxtiles Invoice #038
INV-039,Zenith Furniture,2026-07-13,132755.55,Zenith Furniture Invoice #039
INV-040,Harbor Steel,2026-06-27,88038.25,Harbor Steel Invoice #040
INV-041,Rangoli Foods,2026-07-06,85763.27,Rangol iFoods Invoice #041
INV-042,Indus Motors,2026-07-15,191790.33,Indus Motors Invoice #042
INV-043,Ganges Pharma,2026-07-03,32885.29,Ganges Pharma Invoice #043
INV-044,Bluewave Logistics,2026-06-28,9591.68,Bluewave Logistics Invoice #044
INV-045,Ganges Pharma,2026-06-23,91019.44,Ganges Pharma Invoice #045
INV-046,Orion Freight,2026-06-03,18938.06,Orion Freight Invoice #046
INV-047,Crescent Retail,2026-07-10,150549.56,Crescent Retail Invoice #047
INV-048,Yashoda Hospitals,2026-06-22,171329.94,Yashoda Hosiptals Invoice #048
INV-049,Nimbus Cloud,2026-07-03,93647.88,Nimbus Cloud Invoice #049
INV-050,Lotus Apparel,2026-07-14,181298.49,Lotus Apparel Invoice #050
INV-051,Quartz Energy,2026-06-08,74840.44,Quartz Energy Invoice #051
INV-052,Pinnacle Realty,2026-06-29,155760.32,Pinnacle Realty Invoice #052
INV-053,Ganges Pharma,2026-06-10,139457.04,Ganges Pharma Invoice #053
INV-054,Quartz Energy,2026-07-05,129295.29,Quartz Energy Invoice #054
INV-055,Crescent Retail,2026-07-16,195166.65,Crescent Retail Invoice #055
INV-056,Zenith Furniture,2026-07-04,70346.57,Zenith uFrniture Invoice #056
INV-057,Tundra Robotics,2026-06-12,138641.23,Tudnra Robotics Invoice #057
INV-058,Harbor Steel,2026-07-12,94750.48,Harbor Steel Invoice #058
INV-059,Crescent Retail,2026-06-29,47300.81,Crescent Retail Invoice #059
INV-060,Crescent Retail,2026-06-05,80776.23,Crescent Retail Invoice #060
