settlement_id,order_id,utr,settlement_date,gross_amount,fee,tax,settled_amount,merchant_ref
STL-0001,order_0TVBDIVUZZ,UTR342319992484,2026-06-10,11127.64,222.55,40.06,10865.03,RAZORP*UDAA001
STL-0002,order_NT3W5UZBIK,UTR517045625552,2026-07-11,69807.61,1396.15,251.31,68160.15,RAZORP*LOTU002
STL-0003,order_1C32OC6UZH,UTR535935878833,2026-06-14,118253.75,2365.08,425.71,115462.96,RAZORP*HARB003
STL-0004,order_FYVNVQJT7Y,UTR847816305483,2026-07-06,125911.38,2518.23,453.28,122939.87,RAZORP*EVER004
STL-0005,order_1T2TALA753,UTR363313768191,2026-07-12,78118.97,1562.38,281.23,76275.36,RAZORP*DELT005
STL-0006,order_ZOYN6QICAT,UTR343045499634,2026-06-29,241268.91,4825.38,868.57,235574.96,RAZORP*TUND006
STL-0007,order_IYHE7UR23G,UTR821970820395,2026-06-06,61090.74,1221.81,219.93,59649.0,RAZORP*UDAA007
STL-0008,order_7P5TB94874,UTR547390899554,2026-07-07,114910.32,2298.21,413.68,112198.43,RAZORP*GANG008
STL-0009,order_CVS4F8CGVY,UTR543391824534,2026-06-15,242333.79,4846.68,872.4,236614.71,RAZORP*JAIP009
STL-0010,order_1CQ99CHJ75,UTR370064409283,2026-06-18,70075.56,1401.51,252.27,68421.78,RAZORP*KEST010
STL-0011,order_KHMY4SJ6BW,UTR404209733660,2026-06-10,69794.15,1395.88,251.26,68147.01,RAZORP*DELT011
STL-0012,order_UE8YFBNTPB,UTR975885943559,2026-06-10,161092.78,3221.86,579.93,157290.99,RAZORP*YASH012
STL-0013,order_OY0IFZNBQH,UTR606455894514,2026-06-14,220946.97,4418.94,795.41,215732.62,RAZORP*ZENI013
STL-0014,order_JDP0LVSNUJ,UTR579785579472,2026-06-23,235113.1,4702.26,846.41,229564.43,RAZORP*RANG014
STL-0015,order_XN0GUO4KH2,UTR819865130020,2026-06-29,84914.81,1698.3,305.69,82910.82,RAZORP*VERT015
STL-0016,order_W1Q5UZNOFY,UTR928467665569,2026-06-17,169834.94,3396.7,611.41,165334.06,RAZORP*YASH016
STL-0017,order_WZS3T60RJI,UTR403386445743,2026-07-07,247033.65,4940.67,889.32,241203.66,RAZORP*VERT017
STL-0018,order_C3O18A5UR7,UTR925916252414,2026-06-12,178072.69,3561.45,641.06,173870.18,RAZORP*WAVE018
STL-0019,order_9T6VXDP5GJ,UTR333334202984,2026-07-16,200544.87,4010.9,721.96,195812.01,RAZORP*VERT019
STL-0020,order_EYUHZ1GV0E,UTR279612530880,2026-07-14,14863.24,297.26,53.51,14393.9,RAZORP*CRES020
STL-0021,order_2MPNSM43D8,UTR606070444418,2026-06-23,213321.84,4266.44,767.96,208287.44,RAZORP*YASH021
STL-0022,order_YMRLRMJKV5,UTR110977038883,2026-06-09,73337.42,1466.75,264.01,71606.66,RAZORP*HARB022
STL-0023,order_M9TMQLIZL0,UTR941602610731,2026-06-29,174487.85,3489.76,628.16,170369.93,RAZORP*HARB023
STL-0024,order_TZE5R5UQPG,UTR375098568281,2026-06-22,8466.35,169.33,30.48,8266.54,RAZORP*FALC024
STL-0025,order_SQP49KWV08,UTR788087209613,2026-07-07,192288.64,3845.77,692.24,187750.63,RAZORP*DELT025
STL-0026,order_2WX7PTX63C,UTR968296026728,2026-06-21,177231.95,3544.64,638.04,173049.27,RAZORP*WAVE026
STL-0027,order_U89YJB1QX6,UTR579255341440,2026-06-24,152909.84,3058.2,550.48,149301.16,RAZORP*NIMB027
STL-0028,order_OS9XTOGN1W,UTR159098709360,2026-07-07,13990.8,279.82,50.37,13660.61,RAZORP*MERI028
STL-0029,order_E3RZSJ49IT,UTR307805919610,2026-07-09,104957.72,2099.15,377.85,102480.72,RAZORP*ACME029
STL-0030,order_MTTQLGZUI1,UTR448079814698,2026-07-11,249731.07,4994.62,899.03,243837.42,RAZORP*SUMM030
