bank_txn_id,txn_date,narration,amount,utr
BNK-00001,2026-06-10,RTGS-RAZORP*UDAA00,10865.03,
BNK-00015,2026-06-30,RTGS-RAZORP*VERT015-S280XK,82910.82,
BNK-N0000,2026-07-04,REVERSAL CHGBACK,76442.17,
BNK-00053,2026-06-12,UPI-RAZORP*GANG053-AMUGYS,136165.85,
BNK-00043,2026-07-05,RTGS-RAZORP*GANG043-ETIUYM,32109.19,UTR230258293666
BNK-00060,2026-06-06,UPI-RAZORP*CRES060-S53SK,78869.92,
BNK-N0009,2026-07-12,REVERSAL CHGBACK,59299.44,
BNK-00036,2026-07-14,IMPS-RAZORP*JAIP036-BNP84D,102553.71,UTR819041453913
BNK-00007,2026-06-07,UPI-RAZORP*UDAA007,59649.0,
BNK-00003,2026-06-15,RTGS-RAZORP*HARB003-IUJV,115462.96,UTR535935878833
BNK-00030,2026-07-12,UPI-RAZORP*SUMM030-92XF8E,243837.42,UTR448079814698
BNK-00042,2026-07-17,NEFT-RAZORP*INDU042-F1BCPP,187264.07,UTR891612454760
BNK-00039,2026-07-17,RAZORP*ZENI039-TQVDZ4,129622.52,UTR742669170937
BNK-00008,2026-07-08,NEFT-RAZORP*GANG008-FAO72K,112198.43,
BNK-N0002,2026-07-06,REVERSAL CHGBACK,13014.99,
BNK-N0004,2026-07-12,GST REFUND ADJ,54079.14,
BNK-N0008,2026-06-02,RENT PAYMENT HO,6000.64,
BNK-N0006,2026-07-10,VENDOR PAYOUT MISC,76142.64,
BNK-00026,2026-06-22,UPI-RAZORP*WAVE026,173049.27,UTR968296026728
BNK-00035,2026-06-11,RTGS-RAZORP*KEST035-QW7LVX,116915.3,UTR519122494202
BNK-00010,2026-06-19,RAZORP*KEST010-ZW9XA3,68421.78,UTR370064409283
BNK-N0003,2026-06-20,TDS REFUND AY26,10221.7,
BNK-00017,2026-07-07,IMPS-RAZORP*VERT017-PZIM,241203.66,
BNK-00009,2026-06-15,RAZORP*JAIP009-VWPVS7,236614.71,UTR543391824534
BNK-00048,2026-06-26,RTGS-RAZORP*YASH04,167286.55,UTR440804885228
BNK-00055,2026-07-19,UPI-RAZORP*CRES055-606N9R,190420.96,
BNK-00020,2026-07-14,IMPS-RAZORP*CRES020-U6N7,14393.9,
BNK-00019,2026-07-17,IMPS-RAZORP*VERT019-13JCAT,195812.01,
BNK-00014,2026-06-23,IMPS-RAZORP*RANG014-P87WXE,229564.43,UTR579785579472
BNK-00027,2026-06-24,UPI-RAZORP*NIMB027-MLY4LY,149301.16,UTR579255341440
BNK-00050,2026-07-17,RTGS-RAZORP*LOTU05,177019.85,UTR412542358733
BNK-00054,2026-07-08,RAZORP*QUAR054-MX3Y9R,126243.92,UTR932086292191
BNK-00025,2026-07-07,RTGS-RAZORP*DELT02,187750.63,
BNK-N0001,2026-06-17,INTEREST CREDIT SB,57885.02,
BNK-00023,2026-06-29,UPI-RAZORP*HARB023-JV1V93,170369.93,
BNK-00012,2026-06-10,RTGS-RAZORP*YASH012-YMU5,157290.99,UTR975885943559
BNK-00024,2026-06-22,UPI-RAZORP*FALC024,8266.54,UTR375098568281
BNK-00016,2026-06-17,RTGS-RAZORP*YASH016-2ZQU,165334.06,UTR928467665569
BNK-00051,2026-06-11,NEFT-RAZORP*QUAR051-4X2E,73074.2,UTR190170799779
BNK-00058,2026-07-14,IMPS-RAZORP*HARB058-1ZHW,92514.37,
BNK-N0007,2026-07-07,SALARY CREDIT FEB,74620.79,
BNK-00031,2026-06-11,RAZORP*ORIO031-BCW790,130698.97,UTR788554816658
BNK-00013,2026-06-14,RTGS-RAZORP*ZENI013-AGL58K,215732.62,UTR606455894514
BNK-00004,2026-07-07,NEFT-RAZORP*EVER004-KFAZ,122939.87,UTR847816305483
BNK-00005,2026-07-12,NEFT-RAZORP*DELT005-039T,76275.36,
BNK-00032,2026-07-15,RAZORP*YASH032-FQJJA2,173265.35,UTR520352055311
BNK-00059,2026-07-01,RTGS-RAZORP*CRES059-2IRM,46184.51,UTR972626076284
BNK-00028,2026-07-07,IMPS-RAZORP*MERI028-PZE9,13660.61,
BNK-00049,2026-07-05,RAZORP*NIMB049-NF313F,91437.79,
BNK-00018,2026-06-13,RAZORP*WAVE018-0TV,173870.18,
BNK-00033,2026-06-07,RAZORP*FALC033-0361I2,110551.71,UTR825119489915
BNK-00022,2026-06-09,RTGS-RAZORP*HARB02,71606.66,
BNK-00047,2026-07-13,NEFT-RAZORP*CRES047-IPPSFN,146996.59,
BNK-00021,2026-06-23,RAZORP*YASH021-8J3TRP,208287.44,
BNK-00037,2026-06-26,IMPS-RAZORP*UDAA037-12VJ99,19366.66,UTR330013571010
BNK-N0005,2026-07-08,GST REFUND ADJ,17065.65,
BNK-00034,2026-06-19,RAZORP*TUND034-SJF678,167015.45,UTR319797700469
BNK-00002,2026-07-12,RTGS-RAZORP*LOTU002-NHJ7,68160.15,UTR517045625552
BNK-00045,2026-06-27,IMPS-RAZORP*GANG04,88871.38,
BNK-00044,2026-06-30,RAZORP*BLUE044-C50,9365.32,UTR577119884818
BNK-00029,2026-07-09,NEFT-RAZORP*ACME029-J2O7S3,102480.72,UTR307805919610
BNK-00041,2026-07-07,UPI-RAZORP*RANG041-493WXA,83739.25,
BNK-00057,2026-06-16,RAZORP*TUND057-2Y8,135369.3,
