invoice_id,customer_name,invoice_date,amount,description
INV-001,Kestrel Media,2026-06-10,101731.76,Kestrel Mdeia Invoice #001
INV-002,Summit Traders,2026-06-04,227877.5,Summit Traders Invoice #002
INV-003,Tundra Robotics,2026-06-14,126621.55,Tundra Robotics Invoice #003
INV-004,Lotus Apparel,2026-07-09,126685.32,Lotus Apparel Invoice #004
INV-005,Crescent Retail,2026-06-18,121154.09,Crescent Retail Invoice #005
INV-006,Wavefront Labs,2026-06-20,163546.57,Wavefront Labs Invoice #006
INV-007,Meridian Consulting,2026-07-06,73070.59,Meridian Consutling Invoice #007
INV-008,Rangoli Foods,2026-06-24,154404.05,Ranogli Foods Invoice #008
INV-009,Ganges Pharma,2026-06-29,44764.28,Gnages Pharma Invoice #009
INV-010,Summit Traders,2026-06-10,136471.58,Summit Traders Invoice #010
INV-011,Jaipur Handicrafts,2026-07-12,216514.63,Jaipur Handicrafts Invoice #011
INV-012,Xenon Chemicals,2026-06-23,238975.15,Xenon Chemicals Invoice #012
INV-013,Harbor Steel,2026-07-01,53193.01,Harbor Stele Invoice #013
INV-014,Everest Foods,2026-07-10,207495.07,Everest Foods Invoice #014
INV-015,Quartz Energy,2026-06-09,135297.12,Quartz Energy Invoice #015
INV-016,Orion Freight,2026-06-12,154095.89,Orion Freight Invoice #016
INV-017,Everest Foods,2026-07-01,156679.8,Eevrest Foods Invoice #017
INV-018,Ganges Pharma,2026-06-29,38597.94,Ganges Pahrma Invoice #018
INV-019,Kestrel Media,2026-06-06,181926.95,Kestrel Mdeia Invoice #019
INV-020,Crescent Retail,2026-06-18,19094.0,Crescent Retail Invoice #020
INV-021,Wavefront Labs,2026-06-16,234840.85,Wavefront Labs Invoice #021
INV-022,Harbor Steel,2026-06-22,53663.0,Harbor Steel Invoice #022
INV-023,Jaipur Handicrafts,2026-06-14,92363.06,Jaipur Handicarfts Invoice #023
INV-024,Indus Motors,2026-07-03,165724.38,Idnus Motors Invoice #024
INV-025,Crescent Retail,2026-06-10,102880.24,Cerscent Retail Invoice #025
INV-026,Summit Traders,2026-07-16,172309.37,Summit Traders Invoice #026
INV-027,Acme Corp,2026-06-03,37607.83,Acme Corp Invoice #027
INV-028,Orion Freight,2026-07-06,17441.18,Orion Fregiht Invoice #028
INV-029,Everest Foods,2026-06-22,67215.37,Everest Foods Invoice #029
INV-030,Ganges Pharma,2026-06-05,147460.73,Ganges Phrama Invoice #030
INV-031,Ganges Pharma,2026-07-16,7871.8,Ganges Pharma Invoice #031
INV-032,Bluewave Logistics,2026-06-27,115460.8,Bluewave Logistics Invoice #032
INV-033,Orion Freight,2026-06-28,39201.04,Oroin Freight Invoice #033
INV-034,Rangoli Foods,2026-06-06,83225.5,Rangoli Foods Invoice #034
INV-035,Nimbus Cloud,2026-07-16,192104.24,Nimbus Cloud Invoice #035
INV-036,Udaan Airlines,2026-06-17,134422.02,Udaan Airlines Invoice #036
INV-037,Harbor Steel,2026-07-13,108958.99,Harbor Steel Invoice #037
INV-038,Bluewave Logistics,2026-06-14,10789.04,Bluewave Logistics Invoice #038
INV-039,Yashoda Hospitals,2026-06-14,98131.77,Yashoda Hospitals Invoice #039
INV-040,Bluewave Logistics,2026-06-30,20332.09,Bluewave Logistics Invoice #040
INV-041,Everest Foods,2026-07-02,49820.11,Everest Foods Invoice #041
INV-042,Orion Freight,2026-06-12,62378.09,Orion Freight Invoice #042
INV-043,Bluewave Logistics,2026-06-07,6100.56,Bluewave Logistics Invoice #043
INV-044,Orion Freight,2026-06-24,14888.66,Oroin Freight Invoice #044
INV-045,Tundra Robotics,2026-07-08,52569.59,Tundra Roobtics Invoice #045
INV-046,Crescent Retail,2026-06-27,29840.0,Crescent Retail Invoice #046
INV-047,Falcon Analytics,2026-06-09,8634.42,Falcon Analytics Invoice #047
INV-048,Harbor Steel,2026-07-10,104098.72,Harbor Steel Invoice #048
INV-049,Tundra Robotics,2026-06-30,139762.7,Tundra Robotics Invoice #049
INV-050,Xenon Chemicals,2026-06-21,195520.84,Xenon Chemicals Invoice #050
INV-051,Quartz Energy,2026-06-25,164922.69,Quartz Energy Invoice #051
INV-052,Crescent Retail,2026-07-10,184360.68,Crescent Retail Invoice #052
INV-053,Pinnacle Realty,2026-06-19,239376.63,Pinnacle Realty Invoice #053
INV-054,Zenith Furniture,2026-06-15,21051.47,Zenith Furniture Invoice #054
INV-055,Orion Freight,2026-07-06,132755.87,Orion Freight Invoice #055
INV-056,Jaipur Handicrafts,2026-07-10,158276.41,Jaipur Handicrafts Invoice #056
INV-057,Acme Corp,2026-06-16,178330.79,Acme Corp Invoice #057
INV-058,Everest Foods,2026-07-13,196628.25,Everest Foods Invoice #058
INV-059,Yashoda Hospitals,2026-06-07,8025.77,Yashoda Hospitals Invoice #059
INV-060,Xenon Chemicals,2026-07-15,235998.4,Xneon Chemicals Invoice #060
